playerDeck,opponentDeck,ID 1,ID 2,Filter,Rank,playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Kennen (IO/SH),Elise/Kindred (PZ/SI),Ahri/Kennen (IO/SH)Elise/Kindred (PZ/SI),Elise/Kindred (PZ/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Elise/Kindred (PZ/SI),97,206,0.47
Ahri/Kennen (IO/SH),Elise/Kindred/Vi,Ahri/Kennen (IO/SH)Elise/Kindred/Vi (SI/PZ),Elise/Kindred/Vi (SI/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Elise/Kindred/Vi (SI/PZ),124,277,0.45
Ahri/Kennen (IO/SH),Elise/Trundle,Ahri/Kennen (IO/SH)Elise/Trundle (FR/SI),Elise/Trundle (FR/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Elise/Trundle (FR/SI),168,320,0.53
Ahri/Kennen (IO/SH),Ezreal/Karma,Ahri/Kennen (IO/SH)Ezreal/Karma (PZ/IO),Ezreal/Karma (PZ/IO)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Ezreal/Karma (PZ/IO),21,46,0.46
Ahri/Kennen (IO/SH),Ezreal/Teemo (FR/PZ),Ahri/Kennen (IO/SH)Ezreal/Teemo (FR/PZ),Ezreal/Teemo (FR/PZ)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Ezreal/Teemo (FR/PZ),19,39,0.49
Ahri/Kennen (IO/SH),Fizz/Lulu (BC/PZ),Ahri/Kennen (IO/SH)Fizz/Lulu (BC/PZ),Fizz/Lulu (BC/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Fizz/Lulu (BC/PZ),164,303,0.54
Ahri/Kennen (IO/SH),Fizz/Nami (BW/PZ),Ahri/Kennen (IO/SH)Fizz/Nami (BW/PZ),Fizz/Nami (BW/PZ)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Fizz/Nami (BW/PZ),21,35,0.60
Ahri/Kennen (IO/SH),Gangplank/Miss Fortune (BW/NX),Ahri/Kennen (IO/SH)Gangplank/Miss Fortune (BW/NX),Gangplank/Miss Fortune (BW/NX)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Gangplank/Miss Fortune (BW/NX),47,128,0.37
Ahri/Kennen (IO/SH),Gangplank/Sejuani,Ahri/Kennen (IO/SH)Gangplank/Sejuani (BW/FR),Gangplank/Sejuani (BW/FR)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Gangplank/Sejuani (BW/FR),36,76,0.47
Ahri/Kennen (IO/SH),Heimerdinger/Jayce (IO/PZ),Ahri/Kennen (IO/SH)Heimerdinger/Jayce (IO/PZ),Heimerdinger/Jayce (IO/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Heimerdinger/Jayce (IO/PZ),54,81,0.67
